ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
5,0,Rootbeer brown sponge,33.21688_-119.44412_26_4_1982_12.2_L15_6_4,L15_6_4,33.21688,-119.44412,26,4,1982
5,0,Rootbeer brown sponge,33.21688_-119.44412_15_10_1982_12.2_L15_6_5,L15_6_5,33.21688,-119.44412,15,10,1982
5,0,Pink encrusting bryozoan,33.27325_-119.48615_29_4_1982_12.2_L35_1_4,L35_1_4,33.27325,-119.48615,29,4,1982
5,0,Pink encrusting bryozoan,33.27325_-119.48615_29_4_1982_12.2_R35_1_4,R35_1_4,33.27325,-119.48615,29,4,1982
5,0,Pink encrusting bryozoan,33.27325_-119.48615_1_5_1983_12.2_R35_1_6,R35_1_6,33.27325,-119.48615,1,5,1983
5,0,Pink encrusting bryozoan,33.27325_-119.48615_19_2_1984_12.2_L25_1_8,L25_1_8,33.27325,-119.48615,19,2,1984
5,0,Pink encrusting bryozoan,33.27325_-119.48615_24_4_1985_12.2_L25_1_10,L25_1_10,33.27325,-119.48615,24,4,1985
5,0,Pink encrusting bryozoan,33.27325_-119.48615_24_4_1985_12.2_L35_1_10,L35_1_10,33.27325,-119.48615,24,4,1985
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_9_1985_12.2_L25_1_11,L25_1_11,33.27325,-119.48615,5,9,1985
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_9_1985_12.2_R25_1_11,R25_1_11,33.27325,-119.48615,5,9,1985
5,0,Pink encrusting bryozoan,33.27325_-119.48615_5_9_1985_12.2_R45_1_11,R45_1_11,33.27325,-119.48615,5,9,1985
5,0,Pink encrusting bryozoan,33.27325_-119.48615_18_4_1986_12.2_L25_1_12,L25_1_12,33.27325,-119.48615,18,4,1986
5,0,Pink encrusting bryozoan,33.27325_-119.48615_18_4_1986_12.2_R35_1_12,R35_1_12,33.27325,-119.48615,18,4,1986
